日期,起床时间,早上离开宿舍时间,晚上回到宿舍时间,上床睡觉时间,晚上睡眠总时长,午睡时长(分钟),是否吃早餐,三餐总时长(分钟),点外卖次数,上课总时间(分钟),运动总时间(分钟),自习总时间(分钟),其它时间(休闲娱乐社交社团等)(分钟)
2019.11.11,06:50,08:10,20:20,23:00,7:50,0,1,70,0,270,20,60,550
2019.11.12,07:10,07:30,22:20,23:00,8:10,50,1,60,0,330,20,180,310
2019.11.13,06:50,07:30,18:50,24:00,7:00,0,1,70,0,360,30,120,450
2019.11.14,07:00,08:40,21:00,23:20,8:00,0,1,65,0,270,50,90,485
2019.11.15,07:20,09:00,20:40,23:00,8:30,0,1,70,0,180,20,120,540
2019.11.16,07:30,08:20,21:30,23:20,8:20,30,1,80,0,0,20,240,570
2019.11.17,07:40,08:20,22:30,23:40,8:20,0,1,110,0,0,0,0,830
2019.11.18,08:00,09:30,20:50,22:30,8:30,0,1,65,0,270,20,60,455
2019.11.19,07:00,07:30,18:00,23:10,7:40,70,1,75,0,330,20,120,365
2019.11.20,06:50,07:30,19:50,23:20,7:20,0,1,70,0,360,30,120,480
2019.11.21,06:40,07:30,21:00,23:00,8:20,0,1,65,0,270,30,60,515
2019.11.22,07:20,09:10,20:20,23:30,8:20,0,1,75,0,180,0,120,565
2019.11.23,07:30,08:00,21:20,23:10,8:00,0,1,80,0,0,20,180,680
2019.11.24,07:10,07:50,22:20,24:00,8:00,0,1,100,0,0,0,120,730
